 &plot nbnd=  13, nks=   201 /
           -0.225000  0.225000  0.225000
   -8.232   -8.183   -8.183   -8.109   -8.109   -5.628    2.908    6.123    6.123    8.190
   11.235   11.235   12.270
           -0.237500  0.237500  0.237500
   -8.236   -8.182   -8.182   -8.108   -8.108   -5.566    2.694    6.078    6.078    8.153
   11.275   11.275   12.472
           -0.250000  0.250000  0.250000
   -8.239   -8.181   -8.181   -8.108   -8.108   -5.501    2.484    6.034    6.034    8.114
   11.310   11.310   12.677
           -0.262500  0.262500  0.262500
   -8.242   -8.180   -8.180   -8.108   -8.108   -5.434    2.278    5.991    5.991    8.075
   11.338   11.338   12.882
           -0.275000  0.275000  0.275000
   -8.245   -8.179   -8.179   -8.108   -8.108   -5.365    2.077    5.949    5.949    8.036
   11.361   11.361   13.087
           -0.287500  0.287500  0.287500
   -8.249   -8.178   -8.178   -8.108   -8.108   -5.295    1.880    5.909    5.909    7.997
   11.378   11.378   13.289
           -0.300000  0.300000  0.300000
   -8.252   -8.178   -8.178   -8.107   -8.107   -5.224    1.689    5.871    5.871    7.960
   11.391   11.391   13.486
           -0.312500  0.312500  0.312500
   -8.254   -8.177   -8.177   -8.107   -8.107   -5.151    1.504    5.834    5.834    7.924
   11.398   11.398   13.675
           -0.325000  0.325000  0.325000
   -8.257   -8.176   -8.176   -8.107   -8.107   -5.079    1.326    5.800    5.800    7.890
   11.402   11.402   13.851
           -0.337500  0.337500  0.337500
   -8.260   -8.176   -8.176   -8.106   -8.106   -5.006    1.154    5.767    5.767    7.857
   11.402   11.402   14.009
           -0.350000  0.350000  0.350000
   -8.262   -8.175   -8.175   -8.106   -8.106   -4.934    0.990    5.737    5.737    7.826
   11.399   11.399   14.141
           -0.362500  0.362500  0.362500
   -8.265   -8.175   -8.175   -8.106   -8.106   -4.863    0.834    5.709    5.709    7.798
   11.394   11.394   14.244
           -0.375000  0.375000  0.375000
   -8.267   -8.174   -8.174   -8.106   -8.106   -4.793    0.687    5.683    5.683    7.772
   11.387   11.387   14.317
           -0.387500  0.387500  0.387500
   -8.269   -8.174   -8.174   -8.105   -8.105   -4.727    0.550    5.659    5.659    7.748
   11.379   11.379   14.363
           -0.400000  0.400000  0.400000
   -8.270   -8.173   -8.173   -8.105   -8.105   -4.663    0.424    5.638    5.638    7.726
   11.371   11.371   14.389
           -0.412500  0.412500  0.412500
   -8.272   -8.173   -8.173   -8.105   -8.105   -4.604    0.309    5.619    5.619    7.707
   11.363   11.363   14.402
           -0.425000  0.425000  0.425000
   -8.273   -8.173   -8.173   -8.105   -8.105   -4.551    0.207    5.603    5.603    7.690
   11.355   11.355   14.406
           -0.437500  0.437500  0.437500
   -8.275   -8.173   -8.173   -8.104   -8.104   -4.503    0.118    5.589    5.589    7.676
   11.348   11.348   14.405
           -0.450000  0.450000  0.450000
   -8.276   -8.172   -8.172   -8.104   -8.104   -4.462    0.044    5.578    5.578    7.664
   11.341   11.341   14.402
           -0.462500  0.462500  0.462500
   -8.276   -8.172   -8.172   -8.104   -8.104   -4.429   -0.015    5.569    5.569    7.655
   11.336   11.336   14.398
           -0.475000  0.475000  0.475000
   -8.277   -8.172   -8.172   -8.104   -8.104   -4.405   -0.058    5.563    5.563    7.649
   11.332   11.332   14.394
           -0.487500  0.487500  0.487500
   -8.277   -8.172   -8.172   -8.104   -8.104   -4.391   -0.084    5.559    5.559    7.645
   11.330   11.330   14.392
           -0.500000  0.500000  0.500000
   -8.277   -8.172   -8.172   -8.104   -8.104   -4.386   -0.092    5.557    5.557    7.643
   11.329   11.329   14.391
           -0.500000  0.487500  0.512500
   -8.277   -8.172   -8.172   -8.104   -8.104   -4.385   -0.092    5.542    5.555    7.659
   11.324   11.334   14.398
           -0.500000  0.475000  0.525000
   -8.277   -8.172   -8.172   -8.104   -8.104   -4.382   -0.090    5.498    5.549    7.703
   11.311   11.348   14.420
           -0.500000  0.462500  0.537500
   -8.278   -8.172   -8.172   -8.104   -8.104   -4.377   -0.087    5.429    5.538    7.772
   11.289   11.372   14.454
           -0.500000  0.450000  0.550000
   -8.278   -8.172   -8.171   -8.104   -8.104   -4.370   -0.082    5.339    5.522    7.862
   11.259   11.406   14.499
           -0.500000  0.437500  0.562500
   -8.278   -8.172   -8.171   -8.105   -8.104   -4.362   -0.077    5.233    5.503    7.967
   11.224   11.450   14.552
           -0.500000  0.425000  0.575000
   -8.278   -8.172   -8.171   -8.105   -8.104   -4.351   -0.070    5.116    5.479    8.084
   11.184   11.503   14.610
           -0.500000  0.412500  0.587500
   -8.278   -8.171   -8.170   -8.105   -8.104   -4.339   -0.062    4.990    5.450    8.207
   11.142   11.567   14.667
           -0.500000  0.400000  0.600000
   -8.279   -8.171   -8.170   -8.106   -8.104   -4.324   -0.053    4.860    5.417    8.335
   11.098   11.642   14.721
           -0.500000  0.387500  0.612500
   -8.279   -8.171   -8.169   -8.106   -8.104   -4.308   -0.043    4.726    5.380    8.464
   11.054   11.727   14.766
           -0.500000  0.375000  0.625000
   -8.280   -8.171   -8.168   -8.107   -8.104   -4.291   -0.033    4.591    5.339    8.594
   11.011   11.822   14.797
           -0.500000  0.362500  0.637500
   -8.280   -8.170   -8.167   -8.107   -8.104   -4.271   -0.022    4.456    5.294    8.723
   10.971   11.927   14.811
           -0.500000  0.350000  0.650000
   -8.280   -8.170   -8.166   -8.108   -8.104   -4.250   -0.010    4.322    5.244    8.849
   10.933   12.043   14.806
           -0.500000  0.337500  0.662500
   -8.281   -8.169   -8.165   -8.108   -8.104   -4.227    0.002    4.190    5.191    8.973
   10.899   12.167   14.783
           -0.500000  0.325000  0.675000
   -8.281   -8.169   -8.164   -8.109   -8.104   -4.203    0.014    4.061    5.133    9.093
   10.870   12.300   14.744
           -0.500000  0.312500  0.687500
   -8.282   -8.169   -8.163   -8.110   -8.104   -4.177    0.026    3.935    5.073    9.209
   10.846   12.439   14.692
           -0.500000  0.300000  0.700000
   -8.283   -8.168   -8.162   -8.110   -8.104   -4.150    0.037    3.814    5.008    9.321
   10.827   12.582   14.632
           -0.500000  0.287500  0.712500
   -8.284   -8.168   -8.161   -8.111   -8.104   -4.122    0.048    3.698    4.941    9.429
   10.814   12.725   14.570
           -0.500000  0.275000  0.725000
   -8.284   -8.167   -8.160   -8.112   -8.104   -4.093    0.058    3.587    4.871    9.534
   10.807   12.864   14.512
           -0.500000  0.262500  0.737500
   -8.285   -8.167   -8.159   -8.112   -8.104   -4.063    0.067    3.482    4.798    9.635
   10.806   12.992   14.467
           -0.500000  0.250000  0.750000
   -8.286   -8.167   -8.158   -8.113   -8.104   -4.032    0.075    3.384    4.722    9.733
   10.811   13.097   14.445
           -0.500000  0.237500  0.762500
   -8.287   -8.166   -8.157   -8.114   -8.104   -4.000    0.081    3.293    4.645    9.828
   10.823   13.170   14.453
           -0.500000  0.225000  0.775000
   -8.287   -8.166   -8.156   -8.114   -8.104   -3.968    0.085    3.210    4.565    9.920
   10.842   13.202   14.489
           -0.500000  0.212500  0.787500
   -8.288   -8.165   -8.154   -8.115   -8.104   -3.935    0.087    3.135    4.484   10.009
   10.866   13.193   14.518
           -0.500000  0.200000  0.800000
   -8.289   -8.165   -8.153   -8.116   -8.104   -3.902    0.087    3.068    4.402   10.097
   10.897   13.152   14.475
           -0.500000  0.187500  0.812500
   -8.290   -8.164   -8.152   -8.116   -8.104   -3.869    0.084    3.010    4.319   10.182
   10.934   13.087   14.367
           -0.500000  0.175000  0.825000
   -8.290   -8.164   -8.151   -8.117   -8.104   -3.837    0.079    2.961    4.235   10.266
   10.978   13.007   14.236
           -0.500000  0.162500  0.837500
   -8.291   -8.163   -8.150   -8.117   -8.104   -3.805    0.072    2.922    4.151   10.348
   11.026   12.917   14.098
           -0.500000  0.150000  0.850000
   -8.292   -8.163   -8.149   -8.118   -8.104   -3.773    0.062    2.891    4.067   10.430
   11.080   12.821   13.958
           -0.500000  0.137500  0.862500
   -8.293   -8.162   -8.149   -8.118   -8.104   -3.743    0.051    2.870    3.983   10.510
   11.138   12.722   13.819
           -0.500000  0.125000  0.875000
   -8.293   -8.162   -8.148   -8.119   -8.104   -3.714    0.038    2.857    3.900   10.590
   11.200   12.622   13.682
           -0.500000  0.112500  0.887500
   -8.294   -8.162   -8.147   -8.119   -8.104   -3.687    0.024    2.853    3.818   10.670
   11.265   12.524   13.548
           -0.500000  0.100000  0.900000
   -8.294   -8.161   -8.147   -8.119   -8.103   -3.661    0.010    2.858    3.737   10.750
   11.330   12.428   13.417
           -0.500000  0.087500  0.912500
   -8.295   -8.161   -8.146   -8.120   -8.103   -3.638   -0.005    2.870    3.658   10.830
   11.393   12.338   13.290
           -0.500000  0.075000  0.925000
   -8.295   -8.161   -8.146   -8.120   -8.103   -3.617   -0.019    2.889    3.582   10.911
   11.451   12.257   13.169
           -0.500000  0.062500  0.937500
   -8.295   -8.160   -8.145   -8.120   -8.103   -3.599   -0.032    2.914    3.508   10.992
   11.498   12.189   13.054
           -0.500000  0.050000  0.950000
   -8.296   -8.160   -8.145   -8.120   -8.103   -3.584   -0.043    2.946    3.437   11.073
   11.526   12.141   12.947
           -0.500000  0.037500  0.962500
   -8.296   -8.160   -8.145   -8.120   -8.103   -3.572   -0.052    2.981    3.371   11.154
   11.528   12.119   12.852
           -0.500000  0.025000  0.975000
   -8.296   -8.160   -8.144   -8.120   -8.103   -3.563   -0.059    3.018    3.312   11.234
   11.500   12.118   12.774
           -0.500000  0.012500  0.987500
   -8.296   -8.160   -8.144   -8.121   -8.103   -3.557   -0.064    3.051    3.267   11.312
   11.450   12.129   12.720
           -0.500000  0.000000  1.000000
   -8.296   -8.160   -8.144   -8.121   -8.103   -3.556   -0.065    3.066    3.247   11.382
   11.388   12.134   12.701
           -0.506250  0.000000  0.993750
   -8.296   -8.160   -8.144   -8.121   -8.103   -3.556   -0.065    3.064    3.250   11.351
   11.408   12.141   12.707
           -0.512500  0.000000  0.987500
   -8.296   -8.160   -8.144   -8.121   -8.103   -3.557   -0.065    3.059    3.259   11.299
   11.426   12.162   12.724
           -0.518750  0.000000  0.981250
   -8.296   -8.160   -8.144   -8.121   -8.103   -3.558   -0.064    3.050    3.273   11.231
   11.440   12.196   12.751
           -0.525000  0.000000  0.975000
   -8.296   -8.160   -8.144   -8.121   -8.103   -3.559   -0.064    3.040    3.291   11.152
   11.451   12.239   12.785
           -0.531250  0.000000  0.968750
   -8.296   -8.160   -8.144   -8.121   -8.103   -3.561   -0.063    3.027    3.312   11.065
   11.459   12.290   12.825
           -0.537500  0.000000  0.962500
   -8.296   -8.160   -8.145   -8.121   -8.103   -3.563   -0.063    3.014    3.337   10.972
   11.464   12.347   12.871
           -0.543750  0.000000  0.956250
   -8.296   -8.160   -8.144   -8.121   -8.103   -3.566   -0.062    3.000    3.364   10.875
   11.467   12.409   12.921
           -0.550000  0.000000  0.950000
   -8.296   -8.160   -8.145   -8.121   -8.103   -3.569   -0.062    2.986    3.394   10.775
   11.467   12.474   12.974
           -0.556250  0.000000  0.943750
   -8.297   -8.159   -8.145   -8.121   -8.103   -3.572   -0.061    2.971    3.425   10.674
   11.467   12.542   13.031
           -0.562500  0.000000  0.937500
   -8.297   -8.159   -8.145   -8.121   -8.103   -3.575   -0.061    2.957    3.458   10.572
   11.465   12.612   13.091
           -0.568750  0.000000  0.931250
   -8.297   -8.159   -8.145   -8.121   -8.103   -3.578   -0.060    2.943    3.492   10.470
   11.462   12.683   13.153
           -0.575000  0.000000  0.925000
   -8.297   -8.159   -8.145   -8.121   -8.103   -3.582   -0.060    2.929    3.528   10.368
   11.458   12.757   13.217
           -0.581250  0.000000  0.918750
   -8.297   -8.159   -8.145   -8.121   -8.103   -3.585   -0.060    2.915    3.565   10.267
   11.453   12.831   13.283
           -0.587500  0.000000  0.912500
   -8.297   -8.159   -8.145   -8.121   -8.102   -3.589   -0.059    2.902    3.603   10.166
   11.448   12.907   13.349
           -0.593750  0.000000  0.906250
   -8.297   -8.159   -8.145   -8.122   -8.102   -3.593   -0.059    2.889    3.642   10.067
   11.442   12.984   13.417
           -0.600000  0.000000  0.900000
   -8.297   -8.158   -8.145   -8.122   -8.102   -3.597   -0.059    2.876    3.682    9.969
   11.436   13.062   13.486
           -0.606250  0.000000  0.893750
   -8.297   -8.158   -8.145   -8.122   -8.102   -3.601   -0.059    2.864    3.723    9.873
   11.430   13.140   13.556
           -0.612500  0.000000  0.887500
   -8.297   -8.158   -8.145   -8.122   -8.102   -3.605   -0.059    2.852    3.764    9.778
   11.423   13.220   13.626
           -0.618750  0.000000  0.881250
   -8.297   -8.158   -8.145   -8.122   -8.102   -3.608   -0.059    2.841    3.805    9.685
   11.417   13.300   13.696
           -0.625000  0.000000  0.875000
   -8.297   -8.158   -8.146   -8.122   -8.102   -3.612   -0.059    2.830    3.847    9.595
   11.410   13.380   13.766
           -0.631250  0.000000  0.868750
   -8.297   -8.158   -8.146   -8.122   -8.102   -3.616   -0.060    2.819    3.888    9.507
   11.404   13.461   13.836
           -0.637500  0.000000  0.862500
   -8.297   -8.157   -8.146   -8.122   -8.102   -3.619   -0.060    2.810    3.929    9.422
   11.398   13.543   13.906
           -0.643750  0.000000  0.856250
   -8.298   -8.157   -8.146   -8.123   -8.101   -3.623   -0.060    2.800    3.970    9.339
   11.392   13.625   13.975
           -0.650000  0.000000  0.850000
   -8.298   -8.157   -8.146   -8.123   -8.101   -3.626   -0.061    2.791    4.011    9.259
   11.386   13.707   14.043
           -0.656250  0.000000  0.843750
   -8.298   -8.157   -8.146   -8.123   -8.101   -3.630   -0.061    2.783    4.050    9.183
   11.380   13.789   14.110
           -0.662500  0.000000  0.837500
   -8.298   -8.157   -8.146   -8.123   -8.101   -3.633   -0.061    2.775    4.089    9.110
   11.375   13.872   14.176
           -0.668750  0.000000  0.831250
   -8.298   -8.156   -8.146   -8.123   -8.101   -3.636   -0.062    2.768    4.126    9.040
   11.370   13.955   14.240
           -0.675000  0.000000  0.825000
   -8.298   -8.156   -8.146   -8.123   -8.101   -3.639   -0.062    2.761    4.162    8.974
   11.365   14.037   14.302
           -0.681250  0.000000  0.818750
   -8.298   -8.156   -8.146   -8.123   -8.101   -3.641   -0.062    2.755    4.196    8.913
   11.361   14.119   14.362
           -0.687500  0.000000  0.812500
   -8.298   -8.156   -8.147   -8.123   -8.101   -3.644   -0.063    2.749    4.229    8.856
   11.357   14.201   14.419
           -0.693750  0.000000  0.806250
   -8.298   -8.156   -8.147   -8.123   -8.101   -3.646   -0.063    2.744    4.259    8.803
   11.353   14.282   14.474
           -0.700000  0.000000  0.800000
   -8.298   -8.156   -8.147   -8.123   -8.101   -3.648   -0.064    2.739    4.287    8.755
   11.350   14.362   14.525
           -0.706250  0.000000  0.793750
   -8.298   -8.155   -8.147   -8.124   -8.101   -3.650   -0.064    2.735    4.312    8.712
   11.347   14.439   14.573
           -0.712500  0.000000  0.787500
   -8.298   -8.155   -8.147   -8.124   -8.101   -3.651   -0.064    2.731    4.334    8.674
   11.344   14.513   14.618
           -0.718750  0.000000  0.781250
   -8.298   -8.155   -8.147   -8.124   -8.101   -3.652   -0.064    2.728    4.354    8.642
   11.342   14.580   14.662
           -0.725000  0.000000  0.775000
   -8.298   -8.155   -8.147   -8.124   -8.101   -3.654   -0.065    2.726    4.370    8.615
   11.340   14.633   14.710
           -0.731250  0.000000  0.768750
   -8.298   -8.155   -8.147   -8.124   -8.101   -3.654   -0.065    2.724    4.382    8.594
   11.338   14.670   14.761
           -0.737500  0.000000  0.762500
   -8.298   -8.155   -8.147   -8.124   -8.101   -3.655   -0.065    2.723    4.391    8.579
   11.337   14.693   14.809
           -0.743750  0.000000  0.756250
   -8.298   -8.155   -8.147   -8.124   -8.100   -3.655   -0.065    2.722    4.397    8.570
   11.337   14.706   14.843
           -0.750000  0.000000  0.750000
   -8.298   -8.155   -8.147   -8.124   -8.100   -3.656   -0.065    2.722    4.399    8.567
   11.337   14.710   14.855
           -0.731250  0.000000  0.731250
   -8.297   -8.156   -8.148   -8.122   -8.101   -3.680   -0.033    2.668    4.463    8.630
   11.676   14.562   14.646
           -0.712500  0.000000  0.712500
   -8.295   -8.158   -8.150   -8.121   -8.102   -3.711    0.003    2.630    4.531    8.695
   12.001   14.440   14.443
           -0.693750  0.000000  0.693750
   -8.294   -8.159   -8.151   -8.120   -8.103   -3.749    0.044    2.610    4.602    8.763
   12.295   14.237   14.366
           -0.675000  0.000000  0.675000
   -8.292   -8.160   -8.152   -8.118   -8.104   -3.794    0.091    2.605    4.677    8.832
   12.534   14.037   14.337
           -0.656250  0.000000  0.656250
   -8.290   -8.161   -8.153   -8.117   -8.105   -3.847    0.146    2.617    4.754    8.903
   12.691   13.842   14.194
           -0.637500  0.000000  0.637500
   -8.289   -8.162   -8.155   -8.115   -8.106   -3.907    0.208    2.644    4.834    8.974
   12.760   13.650   13.977
           -0.618750  0.000000  0.618750
   -8.287   -8.163   -8.156   -8.114   -8.106   -3.974    0.280    2.686    4.917    9.045
   12.757   13.464   13.760
           -0.600000  0.000000  0.600000
   -8.285   -8.164   -8.158   -8.113   -8.107   -4.047    0.360    2.742    5.002    9.115
   12.711   13.282   13.547
           -0.581250  0.000000  0.581250
   -8.283   -8.165   -8.159   -8.112   -8.108   -4.127    0.450    2.810    5.088    9.182
   12.644   13.106   13.340
           -0.562500  0.000000  0.562500
   -8.281   -8.166   -8.161   -8.111   -8.109   -4.211    0.549    2.890    5.176    9.245
   12.568   12.934   13.140
           -0.543750  0.000000  0.543750
   -8.279   -8.167   -8.162   -8.110   -8.109   -4.300    0.659    2.982    5.264    9.304
   12.492   12.769   12.947
           -0.525000  0.000000  0.525000
   -8.277   -8.167   -8.164   -8.110   -8.109   -4.393    0.779    3.084    5.353    9.355
   12.418   12.608   12.764
           -0.506250  0.000000  0.506250
   -8.275   -8.168   -8.165   -8.110   -8.108   -4.488    0.908    3.195    5.443    9.398
   12.348   12.453   12.594
           -0.487500  0.000000  0.487500
   -8.272   -8.169   -8.167   -8.111   -8.108   -4.586    1.047    3.315    5.532    9.432
   12.267   12.304   12.453
           -0.468750  0.000000  0.468750
   -8.270   -8.169   -8.168   -8.111   -8.107   -4.684    1.195    3.443    5.620    9.455
   12.152   12.161   12.365
           -0.450000  0.000000  0.450000
   -8.267   -8.170   -8.170   -8.111   -8.107   -4.783    1.352    3.579    5.707    9.467
   12.011   12.023   12.324
           -0.431250  0.000000  0.431250
   -8.264   -8.171   -8.171   -8.112   -8.106   -4.882    1.518    3.721    5.792    9.467
   11.864   11.891   12.309
           -0.412500  0.000000  0.412500
   -8.261   -8.173   -8.172   -8.112   -8.106   -4.980    1.692    3.870    5.875    9.455
   11.720   11.765   12.309
           -0.393750  0.000000  0.393750
   -8.257   -8.174   -8.172   -8.112   -8.106   -5.076    1.875    4.024    5.955    9.433
   11.580   11.645   12.319
           -0.375000  0.000000  0.375000
