 &plot nbnd=  13, nks=   201 /
   -8.551   -8.469   -8.469   -8.413   -8.413   -4.553   -0.170    5.162    5.162    7.114
   10.854   10.854   13.992
           -0.500000  0.487500  0.512500
   -8.551   -8.469   -8.469   -8.413   -8.413   -4.552   -0.170    5.147    5.160    7.128
   10.850   10.858   13.998
           -0.500000  0.475000  0.525000
   -8.551   -8.469   -8.469   -8.414   -8.413   -4.549   -0.168    5.107    5.154    7.170
   10.839   10.872   14.013
           -0.500000  0.462500  0.537500
   -8.551   -8.469   -8.469   -8.414   -8.413   -4.545   -0.166    5.042    5.144    7.236
   10.821   10.894   14.036
           -0.500000  0.450000  0.550000
   -8.551   -8.469   -8.469   -8.414   -8.413   -4.539   -0.162    4.959    5.130    7.320
   10.797   10.925   14.067
           -0.500000  0.437500  0.562500
   -8.551   -8.469   -8.468   -8.414   -8.413   -4.531   -0.158    4.861    5.113    7.420
   10.768   10.965   14.101
           -0.500000  0.425000  0.575000
   -8.552   -8.469   -8.468   -8.414   -8.413   -4.522   -0.152    4.752    5.091    7.530
   10.735   11.014   14.136
           -0.500000  0.412500  0.587500
   -8.552   -8.468   -8.468   -8.415   -8.413   -4.510   -0.146    4.637    5.066    7.647
   10.699   11.073   14.168
           -0.500000  0.400000  0.600000
   -8.552   -8.468   -8.467   -8.415   -8.413   -4.497   -0.139    4.516    5.036    7.768
   10.662   11.141   14.193
           -0.500000  0.387500  0.612500
   -8.552   -8.468   -8.467   -8.415   -8.413   -4.483   -0.132    4.393    5.003    7.892
   10.625   11.218   14.208
           -0.500000  0.375000  0.625000
   -8.553   -8.468   -8.466   -8.416   -8.413   -4.467   -0.124    4.269    4.966    8.017
   10.588   11.304   14.208
           -0.500000  0.362500  0.637500
   -8.553   -8.468   -8.465   -8.416   -8.413   -4.450   -0.116    4.144    4.926    8.140
   10.553   11.400   14.194
           -0.500000  0.350000  0.650000
   -8.554   -8.467   -8.465   -8.416   -8.414   -4.431   -0.107    4.022    4.882    8.263
   10.521   11.504   14.164
           -0.500000  0.337500  0.662500
   -8.554   -8.467   -8.464   -8.417   -8.414   -4.410   -0.099    3.901    4.834    8.382
   10.491   11.616   14.121
           -0.500000  0.325000  0.675000
   -8.555   -8.467   -8.463   -8.417   -8.414   -4.389   -0.090    3.783    4.783    8.499
   10.466   11.736   14.067
           -0.500000  0.312500  0.687500
   -8.555   -8.466   -8.462   -8.418   -8.414   -4.366   -0.082    3.669    4.729    8.612
   10.445   11.860   14.005
           -0.500000  0.300000  0.700000
   -8.556   -8.466   -8.461   -8.418   -8.414   -4.342   -0.074    3.559    4.671    8.722
   10.428   11.987   13.940
           -0.500000  0.287500  0.712500
   -8.557   -8.466   -8.461   -8.419   -8.414   -4.317   -0.067    3.454    4.611    8.828
   10.416   12.115   13.876
           -0.500000  0.275000  0.725000
   -8.557   -8.465   -8.460   -8.419   -8.414   -4.291   -0.061    3.354    4.548    8.931
   10.410   12.237   13.818
           -0.500000  0.262500  0.737500
   -8.558   -8.465   -8.459   -8.420   -8.413   -4.264   -0.056    3.260    4.483    9.031
   10.409   12.347   13.773
           -0.500000  0.250000  0.750000
